variant,sky_mod,road_mod,veg_mod,sigma,fid
combined_best_guess,0.2,1.5,1.1,20,292.81962814651615
road_higher,0.3,1.5,1.1,15,296.84751902894817
veg_higher,0.3,1.3,1.2,15,298.15732259935635
sky_lower,0.2,1.3,1.1,15,298.47938600032563
sigma_higher,0.3,1.3,1.1,25,298.69049134049595
current,0.3,1.3,1.1,15,300.89083215220705
veg_lower,0.3,1.3,1.0,15,302.4573554090818
road_lower,0.3,1.2,1.1,15,302.62924098215274
sky_higher,0.4,1.3,1.1,15,303.2068484965315
sigma_lower,0.3,1.3,1.1,10,303.5909245836646
